Hoạt chất,Hàm lượng,Biệt dược,Dạng bào chế,Nước sản xuất,Chỉ định,Chống chỉ định,Liều dùng,Liều dùng tối đa,Thận trọng,Sử dụng thuốc cho PN có thai và cho con bú,Tương tác thuốc,Tác dụng không mong muốn,Bảo quản,Tài liệu tham khảo,Hình ảnh biệt dược
Trihexyphenidyl (hydroclorid),2mg,Trihexyphenidyl,Viên nén,Việt Nam,"- Điều trị phụ trợ hội chứng Parrkinson
- Giảm hội chứng ngoại tháp","Loạn vận động muộn, nhược cơ, glocom góc đóng hay góc hẹp ( tăng nhãn áp và thúc đẩy cơn cấp)","- HC Parkinson : 3-5 viên/ngày
- RL ngoại tháp : 3-7 viên/ngày",,"- Người cao tuổi và trẻ em dễ nhạy cảm với các TDKMM
- Khi trời nóng và khi vận động
- Người bệnh tim đập nhanh, phì đại tuyến tiền liệt, glocom góc mở,bí đái","- Ít dũ liệu lâm sàng với PNCT
- Chưa ghi nhận nguy cơ nào với PNCCB","- Giảm tác dụng của phenothiazin
- Dùng với amantadin tăng tác dụng kháng acetylcholin lên thần kinh trung ương
- Giảm hấp thu digoxin","- Thường gặp : nhìn mờ, miệng khô
- Ít gặp : mệt mỏi, nhịp tim nhanh, buồn nôn,táo bón","Dưới 30 độ C, nơi khô ráo, tránh ánh sáng",https://drive.google.com/file/d/1Z4txWhSwh46Yk9J3iQOU8QLdBR3eDkSZ/view?usp=sharing,
Amlodipin + indapamid + perindopril,5mg/1.25mg/10mg,TRIPLIXAM,Viên nén bao phim,Ireland,Điều trị tăng HA cho bệnh nhân đã được kiểm soát HA khi kết hợp perindopril/indapamid và amlodipin có cùng hàm lượng,"- Lọc thận
- Suy tim mất bù
- Suy thận nặng, vừa
- Tiền sử phù mạch
- Bệnh não do gan gây ra, suy gan nặng
- Hạ kali huyết, hạ HA nặng, sốc tim
- Tắc nghẽn ĐM Tâm thất trái",1 viên/ngày,,"- Suy thận
- Hạ HA và mất nước và natri
- Tăng HA động mạch thận
- Xơ vữa ĐM
- Tăng HA cấp tính
- Bệnh tiểu đường
- Hẹp ĐM chủ và van 2 lá/ bệnh cơ tim phì đại","- Không được khuyến cáo trong thai kỳ đầu. Không dùng trong kỳ thứ hai và ba
- Không sử dụng trong thời kỳ cho con bú","- Tăng Kali máu, suy thận khi dùng với Aliskiren, thuốc giữ kali, co-trimoxazol, dantrolen, trị liệu phối hợp với thuốc ức chế enzym chuyển dạng angiotensin và thuốc chẹn thụ thể angiotensin
- Tăng hiệu quả hạ HA khi dùng với bưởi chùm
- Tăng hiệu quả chống tăng HA khi dùng với Baclolen
- Gây phù mạch khi dùng với Racecadotril","Viêm mũi, mất bạch cầu hạt, giảm tiểu cầu
- Hạ đường huyết, hạ natri máu
- Mất ngủ, RL giấc ngủ, choáng, đau đầu
- Nhìn đôi, mờ,đau thắt ngực",Bảo quản ở nhiệt độ dưới 30 độ C,https://drive.google.com/file/d/1GQH9lo0XefEj-JrChoJSM1SHzNQd-M2q/view?usp=sharing,
Clopidogrel,75mg,Tunadimet,Viên nén bao phim,Việt Nam,"- Phòng ngừa biến cố do huyết khối động mạch
- Hội chứng mạch vành cấp : hội chứng mạch vành cấp không có đoạn ST chênh, nhồi máu cơ tim cấp tính
- Dự phòng cho bệnh nhân nguy cơ thiếu máu não thoáng qua từ trung bình đến nặng hoặc đột quỵ do thiếu máu cục bộ nhẹ","- Quá mẫn với các thành phần của thuốc
- Đang có chảy máu bệnh lý như loét tiêu hoá, xuất huyết nội sọ
- Suy gan nặng","Liều tấn công 300mg/ngày, liều duy trì 75mg/lần/ngày",,"- Xuất huyết và RL huyết học
- Xuất huyết giảm tiểu cầu
- Đột quỵ do thiếu máu cục bộ gần đây","Không sử cho PNCT
Ngừng cho con bú hoặc ngừng thuốc đối với PNCCB","- Clopidogrel là tiền dược cần CYP2C19 để hoạt hóa. Ức chế CYP2C19 (omeprazole, esomeprazole, fluoxetine, fluvoxamine, voriconazole, fluconazole…) giảm hiệu quả , tránh phối hợp.
- Cảm ứng CYP2C19 (rifampicin) giảm nguy cơ chảy máu.
- Tăng nguy cơ chảy máu khi phối hợp Aspirin, warfarin, heparin, thuốc tiêu sợi huyết, ức chế GP IIb/IIIa, NSAIDs, SSRIs.
- Giảm hiệu quả clopidogrel khi dùng với thuốc HIV","- Ít gặp : giảm tiểu cầu, giảm bạch cầu, tăng bạch cầu ái toan, xuất huyết nội sọ, chảy máu mắt, tụ máu, loét dạ dày tá tràng
- Hiếm gặp : giảm bạch cầu trung tính, hội chứng Kounis, bệnh huyết thanh, ảo giác, lú lẫn, rối loạn vị giác","Dưới 30 độ C, nơi khô ráo, tránh ánh sáng",https://drive.google.com/file/d/1jvQNTdcHQwpA8shIjxSaVEv5wDmcelNu/view?usp=sharing,
Tegafur-uracil (UFT hoặc UFUR),100mg + 224mg,Ufur,Viên nang,Taiwan,"Ung thư dạ dày, ung thư ruột trực tràng, ung thư vú, ung thư tế bào dạng vảy ở đầu và cổ. Kết hợp với Cisplatin điều trị ung thư phổi tiến triển và có di căn","- Quá mẫn với các thành phần cảu thuốc
- Bệnh nhân đang điều trị với sorivudine
- PNCT và CCB",500-800mg/ 2-3 lần/ngày (5-8 viên),,"- Suy tuỷ
- RL chức năng gan, thận
- thuỷ đậu, gia tăng triệu chứng dạ dày/ tá tràng
- Không dung nạp lactose",Không dùng cho PNCT và CCB,"- Không dùng với Sorivudin
- Tăng cường phenytoin
- Các chất chống ung thư ác tính hoặc điều trị tia xạ","- Ức chế tủy xương.
- Rối loạn chức năng gan, thận.
- Viêm ruột non nặng, viêm tụy.
- Viêm phổi kẽ.
- Rối loạn thần kinh (bệnh não trắng), mất khứu giác.
- Phản ứng da, quá mẫn.
- Rối loạn tiêu hóa.
- Rối loạn tim mạch.","Giữ nơi khô mát, nhiệt độ dưới 30 độ C",https://drive.google.com/file/d/1pGJRUBXYbL-d3bxoGfvr58xO4Z--bbIN/view?usp=sharing,
Paracetamol; Tramadol hydrocloride,"325mg/ 37,5mg",ULTRADOL,Viên nén bao phim,Việt Nam,Điều trị triệu chứng đau từ trung bình đến nặng,"- Quá mẫn với các thành phần cảu thuốc
- Ngộ độc cấp tính với rượu, các thuốc giảm đau, hướng thần
- Điều trị đồng thời hoặc ngừng các thuốc MAOtrong 2 tuần
- Suy gan, thận, hô hấp nặng
- Bệnh động kinh không kiểm soát bằng điều trị
- Không dùng cho trẻ em dưới 12 tuổi",1-2 viên/lần/ mỗi 4-6 giờ,8 viên/ngày,"- Paracetamol: Thận trọng ở người bệnh gan, thận, thiếu máu, uống rượu; có thể gây phản ứng da nặng và rối loạn huyết học (hiếm).
- Tramadol: Nguy cơ co giật, ức chế hô hấp, tương tác thuốc (SSRI, TCA, MAOI, rượu, thuốc an thần/opioid); có thể gây lệ thuộc và cai thuốc khi ngừng đột ngột.
- Không khuyến cáo cho trẻ 12–18 tuổi béo phì hoặc có bệnh hô hấp nặng.",Dùng khi lợi ích vượt nguy cơ,"- Tăng nhẹ tác dụng chống đông của coumarin và dẫn chất indanoin
- Tăng độc gan dùng với các thuốc chống co giật
- Giảm nồng độ tramadol khi dùng với carbamazepin
- Tăng nồng độ tramadol khi dùng với quinidin","- Ít gặp : ban, buồn nôn, loạn tạo máu, giãn mạch (hạ HA), tim đập nhanh
- Hội chứng Steven- Johnson, viêm da biểu bì hoại tử nhiễm độc
- Khó thở, loạn vị giác, khó tiểu tiện, rối loạn kinh nguyệt
- Tăng trương lực cơ","Bảo quản trong bao bì kín, nơi khô, tránh ánh sáng. Nhiệt độ không quá 30 độ C",https://drive.google.com/file/d/1jDxzxmuShkwec6tXyEm2TnmFA8V3n4gj/view?usp=sharing,
Lisinopril + hydroclorothiazid,"10mg /12,5mg",UmenoHCT,Viên nén bao phim,Việt Nam,"- Điều trị tăng huyết áp nguyên phát
- Dùng cho bệnh nhân không kiểm soát được huyết áp khi đã dùng đơn trị olmesartan hoặc hydrochlorothiazide
- Có thể dùng liệu pháp thay thế cho bệnh nhân đã ổn định huyết áp khi dùng riêng rẽ olmesartan và hydrochlorothiazide ở cùng liều
- Không dùng để khởi trị tăng huyết áp","- Quá mẫn với olmesartan, hydrochlorothiazide hoặc sulfonamid
- Phụ nữ có thai (đặc biệt 3 tháng giữa và cuối)
- Suy thận nặng, vô niệu
-:Suy gan nặng, ứ mật","1 viên/ngày, uống cùng hoặc không cùng thức ăn",1 viên/ngày (theo hàm lượng phối hợp),"- Người cao tuổi, giảm thể tích tuần hoàn, suy thận/suy gan
- Nguy cơ hạ huyết áp, rối loạn điện giải (Na⁺, K⁺)
- Theo dõi chức năng thận, điện giải định kỳ","- Chống chỉ định khi mang thai
- Không khuyến cáo khi cho con bú","- Thuốc lợi tiểu khác: tăng nguy cơ hạ huyết áp
- NSAIDs: giảm tác dụng hạ áp, tăng nguy cơ suy thận
- Lithium: tăng độc tính lithium
- Thuốc bổ sung kali/giữ kali: tăng kali máu","- Chóng mặt, nhức đầu, hạ huyết áp
- Rối loạn điện giải (hạ Na⁺, tăng/giảm K⁺)
- Mệt mỏi, buồn nôn; hiếm: suy thận, phản ứng dị ứng","Bảo quản nơi khô ráo, dưới 30°C, tránh ánh sáng",https://drive.google.com/file/d/1ApRRd-5g1xIj3ltxu7zq6is7DA-XHypL/view?usp=sharing,
Imatinib,400mg,Umkanib 400,Viên nén bao phim,Việt Nam,"Điều trị cho người lớn và trẻ em trong các bệnh ác tính của máu và u đặc, bao gồm: bạch cầu tủy mạn (CML) nhiễm sắc thể Philadelphia dương tính, bạch cầu nguyên bào lympho cấp Ph+ (ALL), hội chứng loạn sản/tăng sinh tủy liên quan PDGFR, bệnh tế bào mast hệ thống tiến triển, hội chứng tăng eosin/bạch cầu ưa eosin mạn, cùng với các u đặc ác tính như u mô đệm đường tiêu hóa (GIST) và u sarcom xơ da (DFSP) không thể phẫu thuật, tái phát hoặc di căn.","- Quá mẫn cảm với bất cứ thành phần nào của thuốc
- Trẻ em dưới 2 tuổi.","Người lớn : 600-800mg/2 lần/ ngày
Trẻ em : 340 mg/m²/ngày","Người lớn : 600mg/ngày
Trẻ em : 400mg/ngày","- Uống thuốc cùng bữa ăn và nhiều nước để giảm kích ứng tiêu hóa.
- Theo dõi TSH ở bệnh nhân đã cắt tuyến giáp và đang dùng levothyroxin.
- Thuốc chuyển hóa qua gan theo dõi men gan, công thức máu, đặc biệt ở bệnh nhân suy gan hoặc GIST di căn gan; thận trọng khi phối hợp hóa trị gây độc gan.
- Nguy cơ ứ dịch (phù, tràn dịch màng phổi, cổ trướng, phù phổi) theo dõi cân nặng, xử trí sớm, nhất là ở người cao tuổi và có bệnh tim.

Thận trọng ở bệnh nhân bệnh tim, suy tim, nguy cơ tim mạch; theo dõi lâm sàng và xét nghiệm cần thiết.

Có thể gây xuất huyết tiêu hóa, đặc biệt ở GIST → theo dõi và xử trí kịp thời.

Theo dõi huyết học (thiếu máu, giảm bạch cầu, tiểu cầu) và điện giải trong quá trình điều trị.

Thận trọng khi dùng cho trẻ em, cần theo dõi tăng trưởng lâu dài.","- Không dùng thuốc cho phụ nữ mang thai trừ khi thật cần thiết và phải thông báo với bệnh nhân về nguy cơ có thể có đối với
thai nhi.
- Không dùng thuốc cho phụ nữ trong thời kỳ cho con bú.","- Tăng nồng độ imatinib: các chất ức chế CYP3A4 (ketoconazol, itraconazol, erythromycin, clarithromycin, thuốc ức chế protease…)
- Giảm nồng độ imatinib: các chất cảm ứng CYP3A4 (dexamethason, phenytoin, carbamazepin, rifampicin, phenobarbital, St. John’s wort…) → giảm hiệu quả điều trị.
- Imatinib làm tăng nồng độ thuốc khác:Ức chế CYP3A4 → tăng nồng độ các thuốc chuyển hóa qua CYP3A4 (simvastatin, cyclosporin, pimozid, benzodiazepin, chẹn kênh calci, một số statin). Ức chế CYP2C9, CYP2C19 kéo dài PT khi dùng với warfarin.","- Phù: phù mặt, phù phổi, cổ trướng, phù mi mắt.
- Toàn thân – thần kinh: mệt mỏi, chóng mặt, bồn chồn, mất ngủ.
- Da: nổi ban, ngứa, rụng tóc/lông, da khô, nhạy cảm ánh sáng.
- Tiêu hóa: tiêu chảy, đau bụng, đầy hơi, khó tiêu, táo bón, loét miệng.
- Huyết học – chuyển hóa: xuất huyết, giảm lympho, giảm kali, canxi, albumin, tăng đường huyết.
- Gan – hô hấp: tăng men gan, bilirubin; viêm mũi họng, viêm phổi, khó thở.","Nhiệt độ không quá 30 độ C, tránh ẩm",https://drive.google.com/file/d/1jOVbIi-yVH8gBoyFPs5YwHuRXKLvyPOW/view?usp=sharing,
Progesteron,200mg,Utrogestan,Viên nang mềm,Spain,"- Phụ khoa: Điều trị rối loạn do thiếu progesterone (PMS, kinh nguyệt không đều do rối loạn/không rụng trứng, bệnh vú lành tính, tiền mãn kinh); mãn kinh (phối hợp estrogen); vô sinh do suy hoàng thể.
- Sản khoa: Dọa sảy thai hoặc dự phòng sảy thai liên tiếp do suy hoàng thể; dọa sinh non.","- Suy gan nặng
- Dị ứng hay mẫn cảm với hoạt chất hoặc bất kỳ thành phần nào của thuốc","- 200–300 mg/ngày, chia 1–2 lần (ưu tiên buổi tối)
- Suy hoàng thể (PMS, kinh không đều, tiền mãn kinh…): 200 mg/ngày x 10 ngày/chu kỳ (ngày 17–26).
- Dọa sinh non: 400 mg mỗi 6–8 giờ đợt cấp. 600mg/ngày duy trì",,"- Utrogestan không dùng để tránh thai hay điều trị sinh non.
- Có thể gây rối loạn kinh, chảy máu; không dùng khi chưa rõ nguyên nhân chảy máu tử cung.
- Ngừng thuốc nếu có rối loạn thị giác, huyết khối, đau đầu nặng; thận trọng người có tiền sử huyết khối.
- Progesterone chỉ hiệu quả trong suy hoàng thể.",Không có dữ liệu,"- Thuốc cảm ứng CYP3A4 (barbiturat, phenytoin, carbamazepin, rifampicin, một số kháng sinh, St. John’s wort…) tăng chuyển hóa, giảm tác dụng progesterone
- Thuốc ức chế CYP3A4 (ketoconazol, ritonavir, nelfinavir…) → tăng sinh khả dụng và tác dụng của progesterone.
- Progestin có thể làm giảm dung nạp glucose → bệnh nhân đái tháo đường có thể cần tăng liều insulin hoặc thuốc hạ đường huyết.
- Progesterone có thể ảnh hưởng kết quả xét nghiệm chức năng gan và tuyến nội tiết.","- Thường gặp: Thay đổi chu kỳ kinh nguyệt, mất kinh, chảy máu giữa kỳ, nhức đầu.
- Ít gặp : Buồn ngủ, chóng mặt thoáng qua, vàng da ứ mật, ngứa, rối loạn tiêu hóa.","Nhiệt độ dưới 30 độ C, trong bao bì gốc",https://drive.google.com/file/d/1v_5w0cp0NbvO-jiTyinoAjOQhTjfsv4A/view?usp=sharing,
"Độc hoạt, Phòng phong, Tang ký sinh, Tần giao, Bạch thược, Ngưu tất , Sinh địa, Cam thảo, Đỗ trọng , Tế tân, Quế nhục, Nhân sâm, Đương quy, Xuyên khung",330mg/60mg,V.phonte,Viên bao phim,Việt Nam,"Giảm đau và chống viêm trong các bệnh:
- Đau khớp do: viêm khớp gối, viêm khớp háng, viêm khớp bàn chân, viêm cột sống.
- Đau dây thần kinh hông (tọa), đau dây thần kinh liên sườn.
- Đau xương, cơ do: teo cơ, loãng xương.","Dị ứng với thành phần trong bài thuốc, phụ nữ có thai.","Người lớn: 2-4 viên/lần, 2-3 lần/ngày.
Trẻ em: 0,5-2 viên/ lần, 2-3 lần/ngày",,"Người âm hư, huyết hư, háo khát, tiểu đường. Với thể nhiệt: cảm giác nóng nực (có thể có sốt), khớp cơ xương đau nóng nên dùng kết hợp với thuốc bổ âm, dưỡng huyết.","Phụ nữ có thai: Thuốc này không dùng cho phụ nữ có thai.
Phụ nữ cho con bú: Không có dữ liệu về sử dụng thuốc trên phụ nữ cho con bú, chỉ nên dùng thuốc nếu lợi ích vượt trội so với nguy cơ.",Do không có các nghiên cứu về tính tương kỵ của thuốc nên không trộn lẫn thuốc này với các thuốc khác.,Chưa thấy tác dụng không mong muốn. Thông báo ngay cho bác sĩ hoặc dược sĩ những phản ứng có hại gặp phải khi sử dụng thuốc.,"Nơi khô mát, nhiệt độ dưới 30°C",https://drive.google.com/file/d/1Zip5kqWL1821mtdcKDPAUPrKOzoCn8Es/view?usp=sharing,
Trimetazidin,35mg,Vastarel MR,Viên nén bao phim giải phóng có kiểm soát,Pháp,Liệu pháp bổ sung/ hỗ trợ vào biện pháp trị liệu hiện có để điều trị triệu chứng ở bệnh nhân đau thắt ngực ổn định không được kiểm soát đầy đủ hoặc bệnh nhân không dung nạp với các liệu pháp điều trị đau thắt ngực khác.,"- Mẫn cảm với hoạt chất hay với bất kỳ tá dược nào.
- Bệnh parkinson, có triệu chứng parkinson, run, hội chứng chân không nghỉ và các rối loạn vận động có liên quan khác.
- Suy thận nặng ( độ thanh thải creatinine < 30 ml/phút).",1 viên (35mg)/ lần x 2 lần/ ngày,,"-Nặng thêm các triệu chứng parkinson: run, mất vạn động, tăng trương lực cơ
- Suy thận mức độ trung bình
- Bệnh nhân cao tuổi hơn 75","-Không khuyến cáo sử dụng cho PNCCB
- Tránh sử dụng trong thời kì mang thai",- Chưa có tương tác nào được báo cáo,"- Chóng mặt, đau đầu
- Đau bụng, tiêu chảy, khó tiêu, buồn nôn và nôn
- Phát ban, ngứa, nổi mề đay
- Suy nhược",Dưới 30 độ C,https://drive.google.com/file/d/1GvLWlsmaF1WjhwwuKcetvALbWGIx59n-/view?usp=sharing,
Trimetazidin,80mg,Vastarel OD,Viên nang,Hungary,Liệu pháp bổ sung/ hỗ trợ vào biện pháp trị liệu hiện có để điều trị triệu chứng ở bệnh nhân đau thắt ngực ổn định không được kiểm soát đầy đủ hoặc bệnh nhân không dung nạp với các liệu pháp điều trị đau thắt ngực khác.,"- Mẫn cảm với hoạt chất hay với bất kỳ tá dược nào.
- Bệnh parkinson, có triệu chứng parkinson, run, hội chứng chân không nghỉ và các rối loạn vận động có liên quan khác.
- Suy thận nặng ( độ thanh thải creatinine < 30 ml/phút).",1 viên (80mg)/ngày,,"- Không dùng để cắt cơn đau thắt ngực, không phải điều trị ban đầu trong hội chứng mạch vành cấp
- Cần đánh giá lại và điều trị phù hợp khi bệnh nhân vẫn còn đau thắt ngực
- Có thể gây hoặc làm nặng triệu chứng Parkinson và các rối loạn vận động
- Ngừng thuốc ngay khi xuất hiện run, cứng cơ, rối loạn vận động, hội chứng chân không nghỉ
- Triệu chứng thường hồi phục sau khi ngừng thuốc; nếu kéo dài > 4 tháng cần khám chuyên khoa thần kinh
- Có nguy cơ gây ngã, đặc biệt ở người cao tuổi hoặc đang dùng thuốc hạ huyết áp
- Thận trọng khi dùng cho bệnh nhân suy thận mức độ trung bình. Thận trọng ở bệnh nhân trên 75 tuổi
- Thuốc chứa sucrose, không dùng cho người có rối loạn di truyền về dung nạp fructose, kém hấp thu glucose–galactose hoặc thiếu enzym sucrase–isomaltase","- Không có dữ liệu về việc sử dụng trimetazidine trên phụ nữ có thai.
- Không nên sử dụng trimetazidine trong quá trình cho con bú.",Chưa có tương tác nào được báo cáo,"- Chóng mặt, đau đầu
- Đau bụng, tiêu chảy, khó tiêu, buồn nôn và nôn
- Phát ban, ngứa, nổi mề đay
- Suy nhược",Dưới 30 độ C,https://drive.google.com/file/d/1W5qLt-EiOm2wkpSGFHAcRar4-1pE8XL7/view?usp=sharing,
